     2	%(
     1	++
     1	//
     1	0
     1	0.05%
     1	0.07
     1	0.07센트
     1	0.10
     1	0.10미크론
     1	0.11
     1	0.11포인트
     1	0.12
     1	0.12미크론급
     1	0.13
     1	0.13미크론
     1	0.14
     1	0.14%
     1	0.14센트
     1	0.2%
     1	0.3%
     1	0.63
     1	0.63주
     1	0.96
     1	0.96달러
    17	00
     1	0000
     1	000N
     1	00년
    91	01
     1	010
     3	011
     1	016
     2	017
     1	018
     1	019
   107	02
     1	026
   103	03
     1	030311
     1	031
     1	03월
    90	04
    78	05
    69	06
     1	060
    80	07
     1	070
    87	08
    85	09
   302	1
     7	1%
    13	1.0
     2	1.0버전
     2	1.1
     3	1.2
     1	1.22%
     2	1.25
     1	1.2메가와트
     1	1.3
     1	1.33
     1	1.3배
     1	1.4
     1	1.40
     1	1.43%
     1	1.47
     1	1.4M
     6	1.5
     2	1.5%
     1	1.51
     1	1.51%
     1	1.51달러대
     1	1.52
     1	1.52달러
     1	1.53
     1	1.5M
     1	1.5TB
     1	1.5TB급
     1	1.5kg
     1	1.5배
     3	1.6
     1	1.65%
     1	1.6달러
     5	1.7
     1	1.7%
     1	1.7통
     1	1.8
     1	1.8%
     1	1.9
     2	1.9%
     1	1.92%
     1	1.95%
   256	10
    32	10%
     1	10.13%
     1	10.4
     1	10.4인치
     1	10.7
    86	100
    12	100%
    54	1000
     1	10000
     1	1000G
     1	1000G플롭스
     5	1000개
     2	1000건
     1	1000고지
     1	1000기가플롭스
     3	1000대
     1	1000대가
     3	1000만
     4	1000만달러
     1	1000만대
     2	1000만명
     2	1000만원
     1	1000만파운드
     3	1000명
     1	1000명당
     1	1000배
     1	1000분
     1	1000억
     1	1000억엔
     9	1000억원
     1	1000억원의
     1	1000여가지의
     3	1000여개
     1	1000여곡
     1	1000여명
     2	1000원
     3	1000통
     1	1000통이상
     1	1000포인트
     1	1000회
     1	100G
     1	100Gb
     1	100G플롭스
     2	100MB
     1	100MB/s
     1	100MB급
     1	100MB벽
     1	100N
     2	100hot
     1	100개
     1	100곡
     1	100년
     1	100년내
     1	100달러대
     1	100달러면
     3	100대
     1	100대가량
     3	100만
     1	100만개
     1	100만건
     3	100만달러
     6	100만대
     2	100만명
     1	100만사용자
     2	100만원
     3	100만원대
     1	100만장
     1	100만화소급
     1	100만회선
     2	100명
     1	100명의
     2	100배
     1	100송이
     5	100억달러
    12	100억원
     1	100억원대
     1	100여
     6	100여개
     3	100여대
     2	100여명
     1	100여종
     1	100여척
     1	100원
     1	100원이
     2	100일
     1	100조원
     1	100조회
     1	100주년
     1	100초면
     3	100통
     2	100핫
     3	101
     1	1010m
     2	101억원
     1	102
     1	102건
     3	103
     1	103.7
     1	1030i
     1	1038
     1	103개
     1	103억7100만원
     1	103조9000억원
     2	104
     1	104개
     1	104만9400원
     1	1050
     1	1050만달러
     1	106
     1	10646
     1	10646상
     1	106t
     1	106억달러
     1	107
     1	107%
     1	1074
     1	1074억달러
     1	1074억달러도
     1	107건
     1	107건의
     3	108
     2	1080
     1	1080만개
     1	1081TP
     1	108건
     2	109
     2	1090
     1	1090개
     1	1090건
     1	109개사
     1	10FH
     1	10MB
     1	10TB
     1	10g
     1	10가지
    14	10개
     1	10개가
     1	10개국
     1	10개월
     3	10개의
     1	10곳
    23	10년
     2	10년간
     1	10년안
     2	10년전
     1	10년차
     1	10달러
    11	10대
     1	10대의
     2	10만
     1	10만2880달러
     5	10만대
     1	10만명선
     1	10만여건
     2	10만여명
     4	10만원
     1	10만원권
     2	10만원대
     1	10만원대의
     1	10면
     7	10명
     1	10명의
     7	10배
     1	10배속
     1	10배이
     1	10배이상의
     6	10분
     1	10분이면
     1	10선
     1	10센트
     4	10시간
     3	10억
     7	10억달러
     1	10억대
     1	10억분
     7	10억원
     1	10억원의
     1	10여
    10	10여개
     1	10여개사
     1	10여개사가
     3	10여개의
     2	10여곳
     2	10여년
     3	10여년간
     2	10여명
     1	10여일
     2	10여종
     1	10여종이
     2	10원
    47	10월
